Comment,Time
This is like the handmaids Tale! Horrifying. What happens to the man who inseminated the woman?,2022-04-17T09:27:36Z
What a backward little hole Texas really is.,2022-04-17T08:55:30Z
Has Texas gone back to living in the dark ages,2022-04-17T08:41:19Z
How do you murder something that has never drew breath?,2022-04-17T08:04:01Z
Wonder how far along in pregnancy it was. I mean at a certain point it sure is murder (unless complications such as birth defect detected etc) but I'm no expert at what stage that is.,2022-04-17T08:01:26Z
Men telling women what to do with their bodies.......UGH.....it makes me furious! Screw Texas!,2022-04-17T07:49:51Z
PUNISHMENT!!!!? WTF????,2022-04-17T07:44:33Z
Well you Texicans are very frightened of women aren’t you?  This is worthy of the Taliban!,2022-04-17T07:42:47Z
America is sliding into the dark ages,2022-04-17T07:34:45Z
"I am so grateful to be old and not a sexually active young woman because if I got pregnant and abortion was not legal, I absolutely would have used a coat hanger on myself because NO ONE was going to make me have a baby I  DID NOT WANT.  That being said, I think 20 weeks is WAY too late to have an abortion.  That is halfway through the pregnancy.  I think a cutoff of 8 weeks is more than enough time for the woman to decide whether she wants to have an abortion or not.",2022-04-17T07:33:38Z
Abortion is Murder . The lefties always fighting for criminals and illegals but F the unborn child. Twisted mental state of the left in full display.,2022-04-17T07:26:46Z
"David, your three points near the end, are well and fine. But isn’t it clear that over riding all of this, is that religion is using the GOP (or what’s left of it) as a gateway to theocratic rule, as much, if not more than the gop are using the evangelicals for their gains. Autocracy or theocracy. Flip a coin.",2022-04-17T07:18:36Z
That'll teach her to live in a red state.,2022-04-17T06:55:14Z
"yeah, trump doesn't like kids, not even his own, he only likes himself",2022-04-17T06:54:44Z
Good. She should be. She killed another human being.,2022-04-17T06:35:35Z
"They are coming after gay rights too!  They want to over turn same-sex marriage.  Can local city municipalities overrule State Legislatures in Republican states that might find a way to ban same-sex marriage?  Where are there going to be safe, affordable cities to live for same-sex couples that will uphold their marriages?  I would like to know the answers to these questions.  I already know New York City is wanting gays to live there, but it just is not affordable to some of us.  Same goes for cities in California and Hawaii.",2022-04-17T06:22:22Z
"Yeah, and the Pro-life freaks wanted her to be executed.",2022-04-17T06:13:17Z
Insanity!,2022-04-17T06:12:52Z
Funny how the republicants desperately want a fetus to beborn just to be gunned down or live miserably for a few decades as a coporate slave.,2022-04-17T06:06:25Z
"Amazing. In Texas, a man shot and killed an unarmed man because he was trespassing and did not even get a fine. So, according to Texas, once the baby is born, one can shoot it",2022-04-17T06:04:59Z
"Lady's we need to take control,  maybe being fix,  or take brith control, or be come a brithing machine , or just give it up to state let them take care of the kid's",2022-04-17T06:00:07Z
The same thing goes for guns.  Banning guns won’t stop gun violence.  It’ll just make sure that the violence is committed with illegal guns.,2022-04-17T05:51:37Z
"How many abortions has tRump paid for, I wonder🤔 Is Abbott going to adopt all the unwanted children ⁉️⁉️⁉️⁉️⁉️",2022-04-17T05:28:16Z
OUTRAGIOUS❗️ I’m 81 ' made as H@ll.  I can’t even think straight to type this.  We worked hard to have the rights to our own bodies and these pigs in the south are destroying all that work.  SHAME ON TEXAS ' OKLAHOMA.  THEY SHOULD PUT THOSE MEN IN PRISON NOT THAT POOR WOMAN.,2022-04-17T05:24:58Z
"RICH WOMEN in AMERICA will always have a choice. Our medical system is ridiculous. The treatment of women on all levels in American society, is so backwards…sexist, misogynist….sad, sad, sad! Religion does not belong in politics or the LAW of the LAND. If you don’t want to get an abortion…then fine, don’t get one! NOBODY LIKES abortions but it needs to be a medical choice between the woman and her physician…pure and simple ~",2022-04-17T05:20:59Z
If enough Republicans gain power for a long enough time America would look exactly like Putins Russia No doubt about it this is just the tip of the iceberg unfortunately,2022-04-17T05:19:17Z
Arrest the DA ' Abbot for human rights abuses.,2022-04-17T05:18:35Z
This is ridiculous! But if it did go to trial they should have to prove that she was over six weeks pregnant.,2022-04-17T05:01:24Z
"You were born in Argentina, and find hitlers policy’s not so bad.",2022-04-17T04:52:57Z
How about castration for all men who participate in an unplanned conception?,2022-04-17T04:46:18Z
and what is the punishment for the FATHER????  It is always the woman who must suffer.,2022-04-17T04:46:11Z
"This is absurd, and it's all smoke and mirrors, so they can keep their actual agenda quiet.....",2022-04-17T04:44:36Z
How far along was this woman?,2022-04-17T04:43:03Z
He never mentioned the industrial vacuum that was used 🤔,2022-04-17T04:42:13Z
What does this woman have to do with Trump?,2022-04-17T04:40:29Z
Well welcome to Texastan,2022-04-17T04:40:25Z
"Yet from what I understand, they haven't put any plans in place for the over flow of newborns they are going to have, they already have an abundance of homeless kids sitting on the tax payers dime being warehoused and red hats could give a 💩about those kids.'Chemical abortives are gonna come intoplay shortly, what are they gonna do with all these young women sitting in jail with a bail that far exceeds a bail for a rapist (oh Abbott, yes you have men who rape! Ignorant FUCK) exceeds bail for possession of kid porn, exceeds bail for some murders...'Texas, you don't live in a bubble, this is gonna bite you!",2022-04-17T04:39:28Z
If this isn't murder what is,2022-04-17T04:36:19Z
